in:GlzRatio,in:Orientation,in:HVAC,in:SHGC,in:ShadeType,in:UValue(IP),out:PeakCool,out:PeakHeat,out:HVACSize,out:EUI,img
0.3,N,VAV,0.15,None,0.25,2848.433278,2259.698233,2848.433278,42.311415,180_0_0.3_0.15_0.25_0_9.498627_14.102593_18.710195_2848.433278_2259.698233_2848.433278_42.311415.png
0.3,N,Hydr,0.15,None,0.25,2848.433278,2259.698233,2848.433278,27.662938,180_1_0.3_0.15_0.25_0_3.06418_7.84412_16.754638_2848.433278_2259.698233_2848.433278_27.662938.png
0.4,N,VAV,0.15,None,0.25,2988.489613,2455.321738,2988.489613,44.479449,180_0_0.4_0.15_0.25_0_9.950904_15.575647_18.952898_2988.489613_2455.321738_2988.489613_44.479449.png
0.4,N,Hydr,0.15,None,0.25,2988.489613,2455.321738,2988.489613,28.592285,180_1_0.4_0.15_0.25_0_3.122453_8.671597_16.798235_2988.489613_2455.321738_2988.489613_28.592285.png
0.5,N,VAV,0.15,None,0.25,3120.192241,2649.46161,3120.192241,46.593257,180_0_0.5_0.15_0.25_0_10.374311_17.03569_19.183257_3120.192241_2649.46161_3120.192241_46.593257.png
0.5,N,Hydr,0.15,None,0.25,3120.192241,2649.46161,3120.192241,29.540796,180_1_0.5_0.15_0.25_0_3.176396_9.522642_16.841758_3120.192241_2649.46161_3120.192241_29.540796.png
0.6,N,VAV,0.15,None,0.25,3247.025947,2842.575348,3247.025947,48.65245,180_0_0.6_0.15_0.25_0_10.763281_18.494315_19.394854_3247.025947_2842.575348_3247.025947_48.65245.png
0.6,N,Hydr,0.15,None,0.25,3247.025947,2842.575348,3247.025947,30.510528,180_1_0.6_0.15_0.25_0_3.227601_10.398488_16.88444_3247.025947_2842.575348_3247.025947_30.510528.png
0.7,N,VAV,0.15,None,0.25,3374.171523,3035.878562,3374.171523,50.760028,180_0_0.7_0.15_0.25_0_11.170797_19.973031_19.6162_3374.171523_3035.878562_3374.171523_50.760028.png
0.7,N,Hydr,0.15,None,0.25,3374.171523,3035.878562,3374.171523,31.500357,180_1_0.7_0.15_0.25_0_3.282692_11.287331_16.930334_3374.171523_3035.878562_3374.171523_31.500357.png
0.8,N,VAV,0.15,None,0.25,3530.825913,3212.723824,3530.825913,52.741272,180_0_0.8_0.15_0.25_0_11.65962_21.21663_19.865022_3530.825913_3212.723824_3530.825913_52.741272.png
0.8,N,Hydr,0.15,None,0.25,3530.825913,3212.723824,3530.825913,32.359726,180_1_0.8_0.15_0.25_0_3.392309_11.979061_16.988356_3530.825913_3212.723824_3530.825913_32.359726.png
0.2,N,VAV,0.25,None,0.25,2868.567576,2062.714751,2868.567576,40.822011,180_0_0.2_0.25_0.25_0_9.575099_12.550288_18.696624_2868.567576_2062.714751_2868.567576_40.822011.png
0.2,N,Hydr,0.25,None,0.25,2868.567576,2062.714751,2868.567576,26.753451,180_1_0.2_0.25_0.25_0_3.204884_6.768307_16.78026_2868.567576_2062.714751_2868.567576_26.753451.png
0.3,N,VAV,0.25,None,0.25,3072.587372,2259.698233,3072.587372,43.274088,180_0_0.3_0.25_0.25_0_10.246813_13.993805_19.03347_3072.587372_2259.698233_3072.587372_43.274088.png
0.3,N,Hydr,0.25,None,0.25,3072.587372,2259.698233,3072.587372,27.62285,180_1_0.3_0.25_0.25_0_3.342034_7.431213_16.849603_3072.587372_2259.698233_3072.587372_27.62285.png
0.4,N,VAV,0.25,None,0.25,3307.637354,2455.321738,3307.637354,45.903848,180_0_0.4_0.25_0.25_0_11.013879_15.475339_19.414629_3307.637354_2455.321738_3307.637354_45.903848.png
0.4,N,Hydr,0.25,None,0.25,3307.637354,2455.321738,3307.637354,28.503649,180_1_0.4_0.25_0.25_0_3.50022_8.072987_16.930442_3307.637354_2455.321738_3307.637354_28.503649.png
