in:Top Thickness [in],in:Spacing [in],in:Water Temp [F],in: Solar Flux [BTU/sf],out:Slab Flux,out:Convect Flux,out:Rad Flux,out:Cold Temp,out:Deg Condensing,out:Deg Cond No Sun,img
2,16,57,100,55.672259,-5.357748,61.030007,73.314734,18.346734,6.138846,NCGMtherm2357100_View2.png
3,16,57,100,55.390093,-5.856597,61.24669,73.132304,18.164304,7.823628,NCGMtherm3357100_View2.png
4,16,57,100,53.80219,-6.118221,59.920412,73.00589,18.03789,8.933508,NCGMtherm4357100_View2.png
2,24,57,100,39.05043,-7.730883,46.781313,73.59701,18.62901,6.416658,NCGMtherm2457100_View2.png
3,24,57,100,39.720512,-7.719672,47.440183,73.455134,18.487134,8.26011,NCGMtherm3457100_View2.png
4,24,57,100,39.232176,-7.817439,47.049615,73.349996,18.381996,9.479862,NCGMtherm4457100_View2.png
2,4,58,100,99.579031,1.116982,98.462049,68.419958,13.451958,5.189634,NCGMtherm2058100_View2.png
3,4,58,100,93.519571,0.283512,93.236059,68.538902,13.570902,6.100542,NCGMtherm3058100_View2.png
4,4,58,100,88.034826,-0.44118,88.476006,68.703908,13.735908,6.763464,NCGMtherm4058100_View2.png
2,8,58,100,83.152785,-2.296933,85.449718,72.27788,17.30988,6.119892,NCGMtherm2158100_View2.png
3,8,58,100,79.277902,-2.875096,82.152998,72.157676,17.189676,7.283502,NCGMtherm3158100_View2.png
4,8,58,100,75.166035,-3.423096,78.58913,72.082688,17.114688,8.01441,NCGMtherm4158100_View2.png
2,12,58,100,67.436004,-4.333864,71.769868,72.963878,17.995878,6.643008,NCGMtherm2258100_View2.png
3,12,58,100,65.760587,-4.599746,70.360333,72.78854,17.82054,8.028558,NCGMtherm3258100_View2.png
4,12,58,100,63.071232,-4.967848,68.03908,72.676454,17.708454,8.908614,NCGMtherm4258100_View2.png
2,16,58,100,54.954555,-5.457419,60.411974,73.36166,18.39366,6.867576,NCGMtherm2358100_View2.png
3,16,58,100,54.659587,-5.950733,60.61032,73.181264,18.213264,8.440452,NCGMtherm3358100_View2.png
4,16,58,100,53.077919,-6.20999,59.28791,73.05602,18.08802,9.476478,NCGMtherm4358100_View2.png
2,24,58,100,38.543864,-7.795768,46.339632,73.637924,18.669924,7.126686,NCGMtherm2458100_View2.png
3,24,58,100,39.192302,-7.785717,46.978019,73.497326,18.529326,8.847378,NCGMtherm3458100_View2.png
4,24,58,100,38.700515,-7.88303,46.583545,73.393052,18.425052,9.985716,NCGMtherm4458100_View2.png
2,4,59,100,98.34106,0.80623,97.53483,68.839412,13.871412,6.038604,NCGMtherm2059100_View2.png
3,4,59,100,92.320184,-0.018929,92.339113,68.925326,13.957326,6.885288,NCGMtherm3059100_View2.png
4,4,59,100,86.873936,-0.734668,87.608604,69.05876,14.09076,7.50123,NCGMtherm4059100_View2.png
2,8,59,100,82.09446,-2.440411,84.53487,72.339728,17.371728,6.902496,NCGMtherm2159100_View2.png
3,8,59,100,78.244525,-3.013845,81.25837,72.220262,17.252262,7.983648,NCGMtherm3159100_View2.png
4,8,59,100,74.162518,-3.555065,77.717583,72.145814,17.177814,8.662554,NCGMtherm4159100_View2.png
2,12,59,100,66.561847,-4.447914,71.009761,73.015196,18.047196,7.387884,NCGMtherm2259100_View2.png
3,12,59,100,64.887555,-4.711911,69.599466,72.841712,17.873712,8.674974,NCGMtherm3259100_View2.png
4,12,59,100,62.216598,-5.076403,67.293001,72.730688,17.762688,9.492318,NCGMtherm4259100_View2.png
2,16,59,100,54.235103,-5.55708,59.792184,73.40873,18.44073,7.597746,NCGMtherm2359100_View2.png
3,16,59,100,53.928766,-6.044698,59.973464,73.230098,18.262098,9.056934,NCGMtherm3359100_View2.png
4,16,59,100,52.353165,-6.301711,58.654876,73.10606,18.13806,10.019088,NCGMtherm4359100_View2.png
2,24,59,100,38.036227,-7.860618,45.896845,73.67882,18.71082,7.83648,NCGMtherm2459100_View2.png
3,24,59,100,38.663456,-7.851723,46.515179,73.539518,18.571518,9.434394,NCGMtherm3459100_View2.png
4,24,59,100,38.168357,-7.948584,46.116941,73.436072,18.468072,10.491336,NCGMtherm4459100_View2.png
2,4,60,100,97.100188,0.495652,96.604536,69.258704,14.290704,6.887106,NCGMtherm2060100_View2.png
