in:Orientation (deg),in:Sill (ft),in:Overhang (ft),in:Roof Angle (deg),in:Ceiling (ft),out:EUI (kBTU/ft2),out:Hrs of Glare,out:Daylit Flr Area (%),out:peakCool(BTU/hr),out: Peak Heat (BTU/hr),img
0,3,4,5,10,31.948961,1.824658,98.000003,3493.38301,1997.70403,"orientation,0_sill,3_overhang,4_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,3,4,5,10,31.681197,1.90137,99.333329,3447.85654,1997.66874,"orientation,10_sill,3_overhang,4_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,3,4,5,10,31.149067,1.956164,99.333316,3319.81897,1997.66879,"orientation,20_sill,3_overhang,4_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,0,6,5,10,35.674421,1.591781,92.000002,4224.22271,2293.12926,"orientation,0_sill,0_overhang,6_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,0,6,5,10,35.363242,1.526028,95.33333,4168.8236,2293.20263,"orientation,10_sill,0_overhang,6_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,0,6,5,10,34.695169,1.528767,97.333317,4004.5411,2293.20269,"orientation,20_sill,0_overhang,6_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,3,6,5,10,29.327603,1.591781,80.666668,2775.60677,1990.11652,"orientation,0_sill,3_overhang,6_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,3,6,5,10,29.028954,1.526028,83.999999,2730.29018,1990.09173,"orientation,10_sill,3_overhang,6_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,3,6,5,10,28.555073,1.528767,88.666653,2629.25471,1990.09178,"orientation,20_sill,3_overhang,6_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,0,8,5,10,33.158701,1.254795,76.000001,3503.55495,2286.17427,"orientation,0_sill,0_overhang,8_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,0,8,5,10,32.795828,1.131507,77.999998,3455.2256,2286.18674,"orientation,10_sill,0_overhang,8_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,0,8,5,10,32.195173,1.175342,84.666654,3320.22471,2286.1868,"orientation,20_sill,0_overhang,8_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,3,8,5,10,27.391781,1.254795,60,2209.75946,1984.93383,"orientation,0_sill,3_overhang,8_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,3,8,5,10,27.120468,1.131507,65.333333,2184.29108,1984.9355,"orientation,10_sill,3_overhang,8_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,3,8,5,10,26.857846,1.175342,65.999992,2127.73961,1984.93555,"orientation,20_sill,3_overhang,8_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,0,10,5,10,30.973329,1.052055,56.666667,2905.4561,2280.7038,"orientation,0_sill,0_overhang,10_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,0,10,5,10,30.586654,0.936987,58.666665,2854.71452,2280.78277,"orientation,10_sill,0_overhang,10_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,0,10,5,10,30.123323,0.936986,64.666659,2765.15736,2280.78283,"orientation,20_sill,0_overhang,10_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,3,10,5,10,26.124158,1.052055,46.000001,1859.29095,1981.43849,"orientation,0_sill,3_overhang,10_roofAngle,5_ceilingHeight,10__CaptureView.png"
10,3,10,5,10,25.881719,0.936987,48.666665,1846.55481,1981.48612,"orientation,10_sill,3_overhang,10_roofAngle,5_ceilingHeight,10__CaptureView.png"
20,3,10,5,10,25.899997,0.936986,52.66666,1859.15798,1981.48617,"orientation,20_sill,3_overhang,10_roofAngle,5_ceilingHeight,10__CaptureView.png"
0,0,0,10,10,45.061671,2.635616,90.66667,6811.58821,2366.17525,"orientation,0_sill,0_overhang,0_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,0,0,10,10,45.345094,2.868494,83.999997,6805.48641,2366.17524,"orientation,10_sill,0_overhang,0_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,0,0,10,10,45.182295,3.016438,82.66665,6658.62189,2366.1753,"orientation,20_sill,0_overhang,0_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,3,0,10,10,38.083929,2.641096,98.000004,5242.6092,2056.98366,"orientation,0_sill,3_overhang,0_roofAngle,10_ceilingHeight,10__CaptureView.png"
